Level,question,answer
Beginner,What is machine learning?,Machine learning is a subset of artificial intelligence that focuses on building systems that learn from and make decisions based on data.
Beginner,What are supervised and unsupervised learning?,Supervised learning involves training a model on labeled datawhereas unsupervised learning involves training on unlabeled data to identify patterns.
Beginner,What is a dataset?,A dataset is a collection of datausually presented in a table where rows represent instances and columns represent features.
Beginner,What is overfitting?,Overfitting occurs when a model learns the training data too wellincluding its noise and outlierswhich leads to poor performance on new data.
Beginner,What is underfitting?,Underfitting happens when a model is too simple to capture the underlying patterns in the dataresulting in poor performance on both training and test data.
Beginner,What is cross-validation?,Cross-validation is a technique to evaluate the performance of a model by splitting the data into multiple training and validation sets and averaging the results.
Beginner,What is a confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification modelshowing true positivesfalse positivestrue negativesand false negatives.
Beginner,What is precision?,Precision is the ratio of true positives to the sum of true positives and false positivesindicating the accuracy of the positive predictions.
Beginner,What is recall?,Recall is the ratio of true positives to the sum of true positives and false negativesindicating the ability of the model to identify all relevant instances.
Beginner,What is F1-score?,The F1-score is the harmonic mean of precision and recallproviding a balance between the two metrics.
Beginner,What is the difference between classification and regression?,Classification predicts categorical labelswhile regression predicts continuous values.
Beginner,What is a decision tree?,A decision tree is a model that makes decisions by splitting data into branches based on feature valuesultimately leading to a prediction.
Beginner,What is a neural network?,A neural network is a computational model inspired by the human brainconsisting of layers of nodes (neurons) that process and learn from data.
Beginner,What is gradient descent?,Gradient descent is an optimization algorithm used to minimize the loss function by iteratively adjusting model parameters in the direction of the negative gradient.
Beginner,What is a loss function?,A loss function measures how well a model's predictions match the actual outcomesguiding the optimization process.
Beginner,What is feature scaling?,Feature scaling is the process of normalizing or standardizing features to ensure they contribute equally to the model's learning process.
Beginner,What is a hyperparameter?,A hyperparameter is a parameter that is set before the learning process begins and controls the learning processsuch as the learning rate or number of layers in a neural network.
Beginner,What is regularization?,Regularization is a technique used to prevent overfitting by adding a penalty to the loss function based on the complexity of the model.
Beginner,What are the types of regularization?,Common types of regularization include L1 regularization (Lasso) and L2 regularization (Ridge).
Beginner,What is a support vector machine (SVM)?,A support vector machine is a classification algorithm that finds the hyperplane that best separates data into different classes with the maximum margin.
Beginner,What is the purpose of kernel functions in SVMs?,Kernel functions transform data into a higher-dimensional space to make it possible to find a hyperplane that separates non-linearly separable data.
Beginner,What is k-nearest neighbors (KNN)?,K-nearest neighbors is a classification algorithm that assigns a class to an instance based on the majority class of its k nearest neighbors.
Beginner,What is the difference between bagging and boosting?,Bagging combines predictions from multiple models to reduce variancewhile boosting sequentially trains models to correct errors of previous models.
Beginner,What is principal component analysis (PCA)?,Principal component analysis is a dimensionality reduction technique that transforms data into a set of orthogonal components that capture the most variance in the data.
Beginner,What is an ensemble method?,Ensemble methods combine predictions from multiple models to improve overall performancesuch as in Random Forests or Gradient Boosting.
Beginner,What is clustering?,Clustering is an unsupervised learning technique that groups similar data points together based on their features.
Beginner,What is the k-means algorithm?,The k-means algorithm partitions data into k clusters by minimizing the variance within each cluster.
Beginner,What is a ROC curve?,A ROC (Receiver Operating Characteristic) curve is a graphical representation of a classifier's performance across different threshold settingsshowing the trade-off between true positive and false positive rates.
Beginner,What is AUC?,AUC (Area Under the Curve) measures the overall performance of a classifierwith higher values indicating better performance.
Beginner,What is a bias-variance trade-off?,The bias-variance trade-off refers to the balance between a model's ability to generalize (low bias) and its sensitivity to fluctuations in the training data (low variance).
Beginner,What is feature engineering?,Feature engineering involves creating or modifying features to improve the performance of a machine learning model.
Beginner,What is a pipeline in machine learning?,A pipeline is a sequence of data processing steps and modeling stages that are executed in a specified order to streamline the workflow.
Beginner,What is an epoch in training?,An epoch is one complete pass through the entire training dataset during the training of a machine learning model.
Beginner,What is batch size?,Batch size is the number of training examples used in one iteration of model training.
Beginner,What is the difference between batch gradient descent and stochastic gradient descent?,Batch gradient descent uses the entire dataset for each updatewhile stochastic gradient descent uses a single data point or a small batch of data for each update.
Beginner,What is the role of activation functions in neural networks?,Activation functions introduce non-linearity into the modelallowing it to learn complex patterns and make decisions.
Beginner,What is the sigmoid function?,The sigmoid function is an activation function that maps input values to a range between 0 and 1commonly used in binary classification problems.
Beginner,What is the ReLU function?,The ReLU (Rectified Linear Unit) function is an activation function that outputs the input directly if positive and zero otherwisepromoting sparsity in the network.
Beginner,What is dropout?,Dropout is a regularization technique where random neurons are ignored during training to prevent overfitting.
Beginner,What is a hyperparameter tuning?,Hyperparameter tuning is the process of selecting the best hyperparameters for a model to optimize its performance.
Beginner,What is grid search?,Grid search is a hyperparameter tuning method that exhaustively searches through a specified subset of hyperparameter values.
Beginner,What is random search?,Random search is a hyperparameter tuning method that samples random combinations of hyperparameters to find the best model configuration.
Beginner,What is a learning curve?,A learning curve is a plot that shows how a model's performance changes with the amount of training data or training time.
Beginner,What is feature selection?,Feature selection is the process of choosing the most relevant features for model training to improve performance and reduce overfitting.
Beginner,What is the curse of dimensionality?,The curse of dimensionality refers to the challenges and inefficiencies that arise when working with high-dimensional datasuch as increased computational cost and the risk of overfitting.
Beginner,What is one-hot encoding?,One-hot encoding is a technique for representing categorical variables as binary vectors where each category is represented by a unique position in the vector.
Beginner,What is a feature?,A feature is an individual measurable property or characteristic of the data used in machine learning models.
Beginner,What is data normalization?,Data normalization is the process of scaling features to a standard rangesuch as [01]to improve model performance.
Beginner,What is a validation set?,A validation set is a subset of data used to tune model hyperparameters and evaluate performance during training.
Beginner,What is the difference between a training set and a test set?,A training set is used to train the modelwhile a test set is used to evaluate the model's performance on unseen data.
Beginner,What is the purpose of a model's evaluation metric?,Evaluation metrics assess the performance of a machine learning modelproviding insights into its accuracyprecisionrecalland other relevant measures.
Beginner,What is accuracy?,Accuracy is the ratio of correctly predicted instances to the total number of instances in the dataset.
Beginner,What is the difference between a parametric and non-parametric model?,Parametric models assume a specific form for the underlying data distribution and estimate parameterswhile non-parametric models do not make such assumptions and can adapt more flexibly.
Beginner,What is an outlier?,An outlier is a data point that significantly deviates from the other observations in the dataset.
Beginner,What is data preprocessing?,Data preprocessing involves cleaning and preparing data for analysis or modelingincluding tasks like handling missing values and feature scaling.
Beginner,What is a model's bias?,Bias is the error introduced by approximating a real-world problem with a simplified modelleading to systematic deviations in predictions.
Beginner,What is a model's variance?,Variance refers to the model's sensitivity to fluctuations in the training dataleading to variability in predictions for different datasets.
Beginner,What is the role of feature extraction?,Feature extraction involves creating new features or selecting existing ones to improve the performance of a model.
Beginner,What is a decision boundary?,A decision boundary is a surface or line that separates different classes in the feature space.
Beginner,What is the difference between bagging and boosting?,Bagging reduces variance by averaging predictions from multiple modelswhile boosting reduces bias by combining models sequentially to correct errors.
Beginner,What is a hyperparameter?,A hyperparameter is a parameter set before training that controls the learning processsuch as the number of layers in a neural network or the learning rate.
Beginner,What is a learning rate?,The learning rate is a hyperparameter that controls how much to change the model's weights in response to the estimated error each time the model's weights are updated.
Beginner,What is early stopping?,Early stopping is a technique used to prevent overfitting by stopping model training when performance on a validation set starts to degrade.
Beginner,What is feature importance?,Feature importance measures the contribution of each feature to the model's predictionshelping to understand which features are most influential.
Beginner,What is a model's interpretability?,Interpretability refers to the ability to understand and explain the decisions made by a machine learning model.
Beginner,What is a random forest?,A random forest is an ensemble learning method that combines multiple decision trees to improve classification or regression performance.
Beginner,What is a support vector?,In SVMsa support vector is a data point that lies closest to the decision boundary and influences its position.
Beginner,What is a bias-variance trade-off?,The bias-variance trade-off is the balance between a model's ability to generalize well (low bias) and its sensitivity to noise in the training data (low variance).
Beginner,What is an activation function?,An activation function introduces non-linearity into the neural networkallowing it to learn complex patterns and relationships in the data.
Beginner,What is a model's learning curve?,A learning curve shows how a model's performance changes as the amount of training data or the training time increases.
Beginner,What is a precision-recall curve?,A precision-recall curve is a plot that shows the trade-off between precision and recall for different threshold settings in a classification model.
Beginner,What is an ROC curve?,An ROC (Receiver Operating Characteristic) curve plots the true positive rate against the false positive rate for different threshold settings.
Beginner,What is a confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification model by showing the true positivesfalse positivestrue negativesand false negatives.
Beginner,What is an AUC-ROC score?,An AUC-ROC score measures the area under the ROC curverepresenting the overall performance of a classification model.
Beginner,What is a training epoch?,A training epoch is one complete pass through the entire training dataset during the training process of a machine learning model.
Beginner,What is data augmentation?,Data augmentation is a technique used to increase the diversity of training data by applying transformations such as rotationscalingor cropping to existing data.
Beginner,What is a model's performance metric?,A performance metric assesses how well a model makes predictionssuch as accuracyprecisionrecallor F1-score.
Beginner,What is model selection?,Model selection is the process of choosing the best model from a set of candidate models based on their performance on validation data.
Beginner,What is a validation curve?,A validation curve is a plot that shows how a model's performance changes with varying hyperparameters or other aspects of the learning process.
Beginner,What is feature scaling?,Feature scaling is the process of normalizing or standardizing features to ensure they are on a similar scaleimproving the performance of the model.
Beginner,What is a feature matrix?,A feature matrix is a table where each row represents an instance and each column represents a feature or attribute of the data.
Beginner,What is an ensemble method?,Ensemble methods combine multiple models to improve overall performance and robustness compared to individual models.
Beginner,What is a neural network's architecture?,The architecture of a neural network refers to its structureincluding the number of layerstypes of layersand the number of neurons in each layer.
Beginner,What is a model's generalization ability?,Generalization ability refers to a model's performance on unseen dataindicating how well it can apply learned patterns to new instances.
Beginner,What is an outlier in machine learning?,An outlier is a data point that significantly deviates from the other observationspotentially impacting the model's performance.
Beginner,What is data preprocessing?,Data preprocessing involves cleaning and transforming raw data into a format suitable for modelingincluding handling missing values and encoding categorical variables.
Beginner,What is cross-validation?,Cross-validation is a technique used to assess the performance of a model by splitting the data into multiple subsetstraining and evaluating the model on different subsets.
Beginner,What is hyperparameter tuning?,Hyperparameter tuning is the process of selecting the optimal values for hyperparameters to improve model performance.
Beginner,What is a decision tree?,A decision tree is a model that makes decisions by recursively splitting the data based on feature values to make predictions.
Beginner,What is the difference between bagging and boosting?,Bagging reduces variance by averaging predictions from multiple modelswhile boosting reduces bias by combining models sequentially to correct errors.
Beginner,What is the purpose of feature engineering?,Feature engineering involves creating new features or modifying existing ones to improve model performance and relevance.
Beginner,What is a model's bias?,Bias refers to systematic errors introduced by approximating real-world problems with simplified models.
Beginner,What is variance in machine learning?,Variance measures how much a model's predictions change with different training datareflecting its sensitivity to fluctuations in the data.
Beginner,What is a kernel function in SVM?,A kernel function transforms data into a higher-dimensional space to enable the separation of non-linearly separable data using a hyperplane.
Beginner,What is the role of regularization in machine learning?,Regularization helps prevent overfitting by adding a penalty to the loss function based on the complexity of the model.
Beginner,What is a model's complexity?,Model complexity refers to the capacity of a model to capture intricate patterns in the dataoften associated with the number of parameters or layers in the model.
Beginner,What is the purpose of cross-validation?,Cross-validation assesses a model's performance by splitting the data into training and validation setsensuring it generalizes well to new data.
Beginner,What is a learning rate in gradient descent?,The learning rate controls how much to adjust model parameters in response to the gradient of the loss function during optimization.
Beginner,What is data normalization?,Data normalization scales features to a standard rangesuch as [01]to improve model performance and convergence.
Beginner,What is feature extraction?,Feature extraction involves creating or selecting relevant features from raw data to enhance model performance and reduce dimensionality.
Beginner,What is a model's performance metric?,A performance metric evaluates how well a model makes predictionssuch as accuracyprecisionrecallor F1-score.
Beginner,What is a model's generalization ability?,Generalization ability measures how well a model performs on unseen dataindicating its effectiveness in applying learned patterns.
Beginner,What is the purpose of hyperparameter tuning?,Hyperparameter tuning optimizes model performance by selecting the best values for hyperparameters through techniques like grid search or random search.
Beginner,What is the role of feature scaling?,Feature scaling ensures features are on a similar scalepreventing features with larger ranges from dominating the learning process.
Beginner,What is an ROC curve?,An ROC (Receiver Operating Characteristic) curve plots the true positive rate against the false positive rate for different threshold settings in a classification model.
Beginner,What is the difference between supervised and unsupervised learning?,Supervised learning uses labeled data to train modelswhile unsupervised learning identifies patterns in unlabeled data.
Beginner,What is a confusion matrix?,A confusion matrix is a table showing the true positivesfalse positivestrue negativesand false negatives for a classification model.
Beginner,What is precision?,Precision is the ratio of true positives to the sum of true positives and false positivesindicating the accuracy of positive predictions.
Beginner,What is recall?,Recall is the ratio of true positives to the sum of true positives and false negativesindicating the model's ability to identify all relevant instances.
Beginner,What is an F1-score?,The F1-score is the harmonic mean of precision and recallproviding a balance between the two metrics.
Beginner,What is a support vector machine (SVM)?,A support vector machine is a classification algorithm that finds the hyperplane that best separates data into different classes with the maximum margin.
Beginner,What is the purpose of kernel functions in SVMs?,Kernel functions transform data into a higher-dimensional space to enable the separation of non-linearly separable data.
Beginner,What is k-nearest neighbors (KNN)?,K-nearest neighbors is a classification algorithm that assigns a class to an instance based on the majority class of its k nearest neighbors.
Beginner,What is principal component analysis (PCA)?,Principal component analysis is a dimensionality reduction technique that transforms data into a set of orthogonal components capturing the most variance.
Beginner,What is the purpose of an ensemble method?,Ensemble methods combine predictions from multiple models to improve overall performance and robustness compared to individual models.
Beginner,What is a neural network's architecture?,The architecture of a neural network refers to its structureincluding the number of layerstypes of layersand the number of neurons in each layer.
Beginner,What is a model's learning curve?,A learning curve shows how a model's performance changes as the amount of training data or training time increases.
Beginner,What is data augmentation?,Data augmentation increases the diversity of training data by applying transformations such as rotationscalingor cropping to existing data.
Beginner,What is a decision boundary?,A decision boundary is a surface or line that separates different classes in the feature space.
Beginner,What is hyperparameter tuning?,Hyperparameter tuning is the process of selecting the best values for hyperparameters to improve model performance.
Beginner,What is the purpose of regularization?,Regularization helps prevent overfitting by adding a penalty to the loss function based on the complexity of the model.
Beginner,What is a feature matrix?,A feature matrix is a table where each row represents an instance and each column represents a feature or attribute of the data.
Beginner,What is a learning rate?,The learning rate is a hyperparameter that controls how much to change the model's weights in response to the estimated error during training.
Beginner,What is an outlier?,An outlier is a data point that significantly deviates from the other observationspotentially impacting the model's performance.
Beginner,What is a hyperparameter?,A hyperparameter is a parameter set before training that controls the learning processsuch as the number of layers in a neural network or the learning rate.
Beginner,What is feature importance?,Feature importance measures the contribution of each feature to the model's predictionshelping to understand which features are most influential.
Beginner,What is a model's interpretability?,Interpretability refers to the ability to understand and explain the decisions made by a machine learning model.
Beginner,What is a random forest?,A random forest is an ensemble learning method that combines multiple decision trees to improve classification or regression performance.
Beginner,What is a support vector?,In SVMsa support vector is a data point that lies closest to the decision boundary and influences its position.
Beginner,What is a bias-variance trade-off?,The bias-variance trade-off is the balance between a model's ability to generalize well (low bias) and its sensitivity to noise in the training data (low variance).
Beginner,What is an activation function?,An activation function introduces non-linearity into the neural networkallowing it to learn complex patterns and relationships in the data.
Beginner,What is a model's learning curve?,A learning curve shows how a model's performance changes as the amount of training data or the training time increases.
Beginner,What is a precision-recall curve?,A precision-recall curve is a plot that shows the trade-off between precision and recall for different threshold settings in a classification model.
Beginner,What is an ROC curve?,An ROC (Receiver Operating Characteristic) curve plots the true positive rate against the false positive rate for different threshold settings.
Beginner,What is a confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification model by showing the true positivesfalse positivestrue negativesand false negatives.
Beginner,What is an AUC-ROC score?,An AUC-ROC score measures the area under the ROC curverepresenting the overall performance of a classification model.
Beginner,What is a training epoch?,A training epoch is one complete pass through the entire training dataset during the training process of a machine learning model.
Beginner,What is data augmentation?,Data augmentation is a technique used to increase the diversity of training data by applying transformations such as rotationscalingor cropping to existing data.
Beginner,What is a model's performance metric?,A performance metric assesses how well a model makes predictionssuch as accuracyprecisionrecallor F1-score.
Beginner,What is model selection?,Model selection is the process of choosing the best model from a set of candidate models based on their performance on validation data.
Beginner,What is a validation curve?,A validation curve is a plot that shows how a model's performance changes with varying hyperparameters or other aspects of the learning process.
Beginner,What is feature scaling?,Feature scaling is the process of normalizing or standardizing features to ensure they are on a similar scaleimproving the performance of the model.
Beginner,What is a feature matrix?,A feature matrix is a table where each row represents an instance and each column represents a feature or attribute of the data.
Beginner,What is an ensemble method?,Ensemble methods combine multiple models to improve overall performance and robustness compared to individual models.
Beginner,What is a neural network's architecture?,The architecture of a neural network refers to its structureincluding the number of layerstypes of layersand the number of neurons in each layer.
Beginner,What is a model's generalization ability?,Generalization ability refers to a model's performance on unseen dataindicating how well it can apply learned patterns to new instances.
Beginner,What is an outlier in machine learning?,An outlier is a data point that significantly deviates from the other observationspotentially impacting the model's performance.
Beginner,What is data preprocessing?,Data preprocessing involves cleaning and transforming raw data into a format suitable for modelingincluding handling missing values and encoding categorical variables.
Beginner,What is cross-validation?,Cross-validation is a technique used to assess the performance of a model by splitting the data into multiple subsetstraining and evaluating the model on different subsets.
Beginner,What is hyperparameter tuning?,Hyperparameter tuning is the process of selecting the optimal values for hyperparameters to improve model performance.
Beginner,What is a decision tree?,A decision tree is a model that makes decisions by recursively splitting the data based on feature values to make predictions.
Beginner,What is the difference between bagging and boosting?,Bagging reduces variance by averaging predictions from multiple modelswhile boosting reduces bias by combining models sequentially to correct errors.
Beginner,What is the purpose of feature engineering?,Feature engineering involves creating new features or modifying existing ones to improve model performance and relevance.
Beginner,What is a model's bias?,Bias refers to systematic errors introduced by approximating real-world problems with simplified models.
Beginner,What is variance in machine learning?,Variance measures how much a model's predictions change with different training datareflecting its sensitivity to fluctuations in the data.
Beginner,What is a kernel function in SVM?,A kernel function transforms data into a higher-dimensional space to enable the separation of non-linearly separable data using a hyperplane.
Beginner,What is the role of regularization in machine learning?,Regularization helps prevent overfitting by adding a penalty to the loss function based on the complexity of the model.
Beginner,What is a model's complexity?,Model complexity refers to the capacity of a model to capture intricate patterns in the dataoften associated with the number of parameters or layers in the model.
Beginner,What is the purpose of cross-validation?,Cross-validation assesses a model's performance by splitting the data into training and validation setsensuring it generalizes well to new data.
Beginner,What is a learning rate in gradient descent?,The learning rate controls how much to adjust model parameters in response to the gradient of the loss function during optimization.
Beginner,What is data normalization?,Data normalization scales features to a standard rangesuch as [01]to improve model performance and convergence.
Beginner,What is feature extraction?,Feature extraction involves creating or selecting relevant features from raw data to enhance model performance and reduce dimensionality.
Beginner,What is a model's performance metric?,A performance metric evaluates how well a model makes predictionssuch as accuracyprecisionrecallor F1-score.
Beginner,What is a model's generalization ability?,Generalization ability measures how well a model performs on unseen dataindicating its effectiveness in applying learned patterns.
Beginner,What is the purpose of hyperparameter tuning?,Hyperparameter tuning optimizes model performance by selecting the best values for hyperparameters through techniques like grid search or random search.
Beginner,What is the role of feature scaling?,Feature scaling ensures features are on a similar scalepreventing features with larger ranges from dominating the learning process.
Beginner,What is an ROC curve?,An ROC (Receiver Operating Characteristic) curve plots the true positive rate against the false positive rate for different threshold settings in a classification model.
Beginner,What is the difference between supervised and unsupervised learning?,Supervised learning uses labeled data to train modelswhile unsupervised learning identifies patterns in unlabeled data.
Beginner,What is a confusion matrix?,A confusion matrix is a table showing the true positivesfalse positivestrue negativesand false negatives for a classification model.
Beginner,What is precision?,Precision is the ratio of true positives to the sum of true positives and false positivesindicating the accuracy of positive predictions.
Beginner,What is recall?,Recall is the ratio of true positives to the sum of true positives and false negativesindicating the model's ability to identify all relevant instances.
Beginner,What is an F1-score?,The F1-score is the harmonic mean of precision and recallproviding a balance between the two metrics.
Beginner,What is a support vector machine (SVM)?,A support vector machine is a classification algorithm that finds the hyperplane that best separates data into different classes with the maximum margin.
Beginner,What is the purpose of kernel functions in SVMs?,Kernel functions transform data into a higher-dimensional space to enable the separation of non-linearly separable data.
Beginner,What is k-nearest neighbors (KNN)?,K-nearest neighbors is a classification algorithm that assigns a class to an instance based on the majority class of its k nearest neighbors.
